0,1,2
0,2,6
1,2,3
10,1,2
10,3,2
10,2,5
11,1,2
11,3,2
11,4,2
11,2,5
12,1,2
12,3,2
12,5,2
12,4,2
12,2,6
12,6,3
13,1,3
13,3,2
13,4,2
13,2,5
13,6,3
14,1,2
14,3,3
14,4,2
14,2,5
14,6,3
14,7,2
15,8,2
15,1,3
15,3,2
15,5,2
15,4,2
15,2,6
15,6,3
15,7,2
16,8,2
16,1,3
16,3,2
16,5,2
16,4,2
16,2,5
16,6,3
16,7,2
16,7,2
17,8,2
17,1,2
17,3,3
17,5,2
17,2,5
17,6,3
17,7,2
18,3,2
18,5,2
18,2,5
18,6,3
18,7,2
19,3,2
19,2,5
19,6,3
2,2,3
20,2,4
21,3,2
21,2,4
22,3,2
22,2,4
23,3,2
23,2,4
3,2,3
5,2,2
6,2,3
7,2,3
8,1,2
8,2,4
9,1,2
9,3,2
9,2,5
